,smiles,LUMO
4477,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O)=O))C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-1.9196851771004049
10574,C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F.[Ti][O],-2.3621150031701745
5711,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C#CC1CCC(O1)C(=O)O)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1),-1.869745708505775
1195,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))N(C1=CC=CC=C1)C2=CC=CC=C2)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))N(C1=CC=CC=C1)C2=CC=CC=C2.[Zn],-2.18115311181316
6383,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti][O],-2.427107742934368
5511,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C3=CC=CC=C23)C#CC4=CC=C(C=C4)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C(#CC1=CC=C(C=C1)OC))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]),-2.4933442767110137
10489,C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O)=O))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F.[Ti][O],-2.480825514117328
9843,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C(O)=O))C1=CC=CC=C1)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1=CC=CC=C1.[Ti]2OC1=CC=C(C=C1O2)C=O,-2.394686042432568
8159,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC=C(C(O)=O)C(O)=O))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1.[Ti]2OC1=CC=C(C=C1O2)C=O,-2.3676888298535914
11224,C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C1(=CC=C(S1)C2=CC=C(S2)C=C(C(=O)OC)C#N))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F)N(C1=CC=CC=C1)C2=CC=CC=C2)F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F.[Ti][O],-2.5914216234477863
8936,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C1(=CC=C(S1)C=C(CC(=O)O)C#[N]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-2.390998046850882
288,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC=C(C(O)=O)C(O)=O))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(OC)=C(OC)C(OC)=C1).[Zn],-2.236986992080801
4602,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))N(C1=CC=CC=C1)C2=CC=CC=C2)N(C1=CC=CC=C1)C2=CC=CC=C2)N(C1=CC=CC=C1)C2=CC=CC=C2,-2.184767392439994
8077,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=C(OC)C=CC=C1OC))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti]2OC1=CC=C(C=C1O2)C=O,-2.3370020038562416
8651,C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC(=CC(=C1)C(O)=O)C(O)=O))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-2.2142487932120503
